Model,Metric,Mean (Same Folder),Mean (Different Folder),Std (Same Folder),Std (Different Folder),Min (Same Folder),Max (Same Folder),Min (Different Folder),Max (Different Folder),Separation (Mean Diff),Dynamic Range (Same Folder),Dynamic Range (Different Folder),SNR,Kurtosis (Same Folder),Kurtosis (Different Folder),Skewness (Same Folder),Skewness (Different Folder),Overlap Percentage,Separation Ratio,Median (Same Folder),Median (Different Folder),Suggested Threshold,False Positive Rate,False Negative Rate,Composite Score
Facenet512,chebyshev,2.032606003805995,3.696932439804077,0.4242639054280572,0.2581926012620329,1.2363759726285934,3.082332134246826,3.1645772457122803,4.268760323524475,1.664326435998082,1.8459561616182327,1.1041830778121948,2.4387289441638633,0.1439745296594896,-0.2268351202158709,0.4147284617658411,0.3809529899562137,3.578161521181702,0.5641518250234885,1.9993379712104795,3.6863121390342712,2.864769221805036,5.0,0.0,3.6103466476040484
ArcFace,minkowski,1.585255743301024,2.300271276952701,0.165859326996357,0.122832108627841,1.2564025162876338,1.8758764624771576,2.064155333681731,2.567607830079433,0.7150155336516772,0.619473946189524,0.5034524963977018,2.4767466069982196,-0.9370964402891264,-0.3307115141403045,-0.0448208410020983,-0.0028908493935364,1.3087810955283097,0.6367429838095889,1.5563916846109875,2.3051722467795592,1.9427635101268623,0.0,0.0,3.4224031875417245
ArcFace,mse,0.0284251337761167,0.0600410029549089,0.0056534948229416,0.0067298002328824,0.0177024766094551,0.0385459084888303,0.04638246642126,0.0740177775450373,0.0316158691787921,0.0208434318793751,0.0276353111237773,2.5531063449806624,-1.0691329302873074,-0.2872625457684457,-0.0338157418520248,-0.0723447845984429,1.1974020179952234,0.6521594253534226,0.0279665616495636,0.0594437653197589,0.0442330683655128,0.0,0.0,2.9912095883859204
VGG-Face,jensenshannon,0.5504156153675931,0.7400376538725421,0.0538075483986507,0.0256329746416342,0.4669556480166543,0.6458937632013937,0.6853456090949517,0.7847806037890267,0.1896220385049489,0.1789381151847394,0.099434994694075,2.3869686558935412,-0.9574870465980352,-0.6820709296613194,0.4100868805374667,-0.3111123192256192,2.8062867736830266,0.6811794378684711,0.5397864714948778,0.7479220190405588,0.6452266346200676,5.0,0.0,2.6567925160102135
VGG-Face,braycurtis,0.5647219495847983,0.8472513847122203,0.0766743536415572,0.0434413346375259,0.4507947980340044,0.7068231322550668,0.756207073902041,0.922005527869802,0.282529435127422,0.2560283342210623,0.1657984539677609,2.352144329981094,-0.8853632142835091,-0.8495001233753898,0.4768318609740049,-0.2393473188619222,3.1779250229582097,0.6697759436770353,0.5484361780355229,0.8599999184168496,0.7059866671485093,5.0,0.0,2.6088068600543672
VGG-Face,minkowski,0.3691389747427979,0.496789193848543,0.0368413018322487,0.0184070488172806,0.3102759248122157,0.4350773439824233,0.4592006785717622,0.5319820407803963,0.1276502191057451,0.1248014191702076,0.0727813622086341,2.310480179136938,-1.0293854820835917,-0.6409203345717773,0.2829275683053904,0.0909893279303285,2.7257468518573464,0.6460594299509876,0.3691131891765151,0.4935348424265327,0.4329640842956704,5.0,0.0,2.511416282497436
Facenet,chebyshev,1.9469707943499088,3.3241221070289613,0.3097202000602757,0.3828895294706747,1.412746787071228,2.6959840655326843,2.815418064594269,4.213094711303711,1.3771513126790524,1.2832372784614563,1.397676646709442,1.9883510929187893,0.0909561222078214,-0.4702705997226739,0.704854113710612,0.6766780116242721,6.694532749713666,0.513687254092376,1.9440191686153412,3.270694613456726,2.635546450689435,5.0,0.0,2.1939782449820093
VGG-Face,cosine,0.433045420396053,0.8099004273810486,0.1035226887846813,0.0647977262703813,0.2906327107926807,0.6232321337266357,0.6771526997565356,0.922805164289195,0.3768550069849956,0.3325994229339549,0.2456524645326594,2.2389144350773793,-0.8509545279808175,-0.6992184283033294,0.5548872073413812,-0.2531942213176708,5.069238406181022,0.6517142704644496,0.4027871784815986,0.8254008316083508,0.6214729238885508,5.0,0.0,2.169475823763089
VGG-Face,hausdorff,0.9242068641001868,1.2716804114439832,0.1092360432375961,0.0512814382770178,0.7624076479058702,1.116451641341116,1.1637462779803307,1.3585324171982025,0.3474735473437964,0.3540439934352456,0.1947861392178718,2.1647084421279152,-0.9587022616023084,-0.6448146643426926,0.404780156714663,-0.3289336668355227,5.610191629804281,0.6331167453653891,0.8975008789345478,1.2848352669570933,1.097943637772085,15.0,0.0,1.943001668118938
VGG-Face,euclidean,0.9242068641001866,1.2716804114439832,0.1092360432375959,0.0512814382770181,0.7624076479058705,1.1164516413411163,1.1637462779803298,1.3585324171982025,0.3474735473437966,0.3540439934352458,0.1947861392178727,2.1647084421279144,-0.9587022616023037,-0.64481466434269,0.4047801567146686,-0.3289336668355244,5.610191629804332,0.6331167453653882,0.8975008789345476,1.2848352669570926,1.0979436377720848,15.0,0.0,1.943001668118926
VGG-Face,mse,0.0002114479591777,0.0003954591930571,5.054818788314524e-05,3.163951478045968e-05,0.0001419105033167,0.0003043125652962,0.0003306409666779,0.0004505884591255,0.0001840112338793,0.0001624020619794,0.0001199474924475,2.238914435077378,-0.8509545279808175,-0.6992184283033285,0.5548872073413812,-0.2531942213176734,5.069238406181042,0.6517142704644495,0.0001966734269929,0.0004030277498087,0.0003034535761174,5.0,0.0,1.8769239416881662
VGG-Face,correlation,0.4668805861109094,0.8713099052694022,0.1155570531717447,0.0723322003317835,0.3119101090951931,0.6756445578340708,0.7224507876806814,0.9924130042932152,0.4044293191584928,0.3637344487388777,0.2699622166125339,2.152487764026899,-0.8664235268147258,-0.793422525965715,0.5595862981504562,-0.2637822813520318,6.34332512596929,0.6382064815414794,0.4342303854228414,0.8842067505283212,0.6690952456901558,10.0,0.0,1.8325139127812489
SFace,canberra,74.92225582090411,88.18506132188523,9.877505620487288,3.4879576367719434,59.67452938857834,90.33795042206484,81.47480130092792,95.22267258076305,13.262805500981116,30.663421033486493,13.747871279835124,0.9923191770983054,-1.310038148443595,-0.5096492003005539,0.0242812620483249,-0.2231927191204271,34.29499520827377,0.2986358831310748,74.6396796925857,88.41915844150728,81.55365857139466,35.0,8.0,1.0120298909261276
ArcFace,chebyshev,0.5842424707952887,0.853850566521287,0.0869423230456815,0.0858170638466661,0.4236488491296768,0.7684237957000732,0.70583376288414,1.0131069123744965,0.2696080957259983,0.3447749465703964,0.3072731494903564,1.560598822303071,-0.6654147136105579,-0.9517289181469888,0.0008195951270952,0.2193412061303291,14.430892495658403,0.4134788481935514,0.5966730713844299,0.8430343270301819,0.7190465186582878,5.0,4.0,-0.7288724263552342
SFace,euclidean,9.075041631893471,11.678777761187025,1.383182543762492,0.7383003981569909,6.833686012466215,11.36961848741482,10.225814317274484,13.343195971714152,2.6037361292935515,4.535932474948606,3.1173816544396686,1.2273189087901566,-1.211218430454088,-0.4496728895141619,-0.0853327359047883,0.2128544949504583,26.58409673727082,0.3402102782238296,9.531110674431272,11.645551311928584,10.376909696540247,15.0,4.0,-2.206295502106368
SFace,hausdorff,9.075041631893471,11.678777761187025,1.383182543762493,0.7383003981569911,6.833686012466213,11.369618487414822,10.225814317274484,13.343195971714149,2.6037361292935515,4.535932474948609,3.117381654439665,1.227318908790156,-1.211218430454088,-0.4496728895141717,-0.0853327359047885,0.2128544949504536,26.58409673727085,0.3402102782238296,9.531110674431268,11.645551311928584,10.376909696540247,15.0,4.0,-2.206295502106376
SFace,hamming,38.6,49.88,9.107140056021978,4.5017329996346955,25.0,54.0,41.0,61.0,11.28,29.0,20.0,0.8288709839431817,-1.2293993310349125,0.5315228638152409,0.3303015243073954,0.646904930515978,40.00386271109218,0.230204081632653,37.5,50.0,44.24,30.0,12.0,-2.4661340044709394
OpenFace,canberra,67.39693985291102,82.08178035093597,10.547113896239948,7.814061322402813,44.26502819028502,87.16843407332844,66.66571111568798,97.42406753000093,14.684840498024954,42.90340588304342,30.758356414312928,0.799776720343854,-0.5234950019938878,-0.3649641717969829,-0.0585049903765603,-0.3356364239113216,48.487289237802166,0.1993549983062512,65.09627804970329,82.91768425678504,74.7393601019235,30.0,16.0,-3.194073240206756
SFace,mse,0.6583560513278832,1.0698354490087143,0.1953038988940883,0.1357327405417857,0.3648380040388781,1.0099080042919133,0.8169318629013735,1.3909443651528814,0.4114793976808311,0.6450700002530352,0.5740125022515079,1.2430025823789204,-1.1633434270104213,-0.3725415956612736,0.096220814055131,0.3543165908846232,26.430891519284778,0.3375320348175513,0.7098516439505707,1.0595223856153249,0.8640957501682988,15.0,4.0,-3.4596826086975905
SFace,minkowski,4.712178255614388,6.005175684231972,0.680085207766784,0.4135743734594992,3.618039613531117,5.820952107487886,5.333059843320586,6.83239923463309,1.2929974286175838,2.2029124939567692,1.4993393913125042,1.1822668139274104,-1.243119748805688,-0.8351134988961055,-0.0939954640816848,0.2763315232930695,29.186185672024607,0.3492462070887813,4.919587343701569,5.930233577533377,5.35867696992318,15.0,8.0,-3.559556475384288
SFace,correlation,0.5516233065778903,0.8785237010273406,0.1956382609133632,0.0842553187683167,0.2800282753962955,0.9348828925659308,0.6872123264566812,1.1264328365756195,0.3269003944494503,0.6548546171696352,0.4392205101189383,1.1679453127193224,-0.9424295336247924,1.4459746926781776,0.4372054668446211,0.5563687458944883,27.077823477952407,0.2987915420941902,0.5170731991409039,0.8523146891816993,0.7150735038026155,25.0,4.0,-3.7618742361683593
SFace,cosine,0.5483264179218403,0.868807127215662,0.196451364852674,0.0882671958744887,0.2642592946453278,0.935664045412944,0.6782006940038319,1.1256061442455434,0.3204807092938216,0.6714047507676161,0.4474054502417115,1.1256052590155112,-0.8994435299828965,1.2382794912722197,0.4519177179360834,0.5487047795693991,28.968117616387033,0.2864477898080496,0.5066664966757728,0.8551588463327153,0.7085667725687512,30.0,4.0,-4.203449045523606
VGG-Face,chebyshev,0.1262935836171141,0.1743543966391564,0.0178989103387803,0.0270366105805931,0.0964059609271016,0.1621856280921312,0.1465785836080667,0.2329237176131846,0.0480608130220422,0.0657796671650296,0.0863451340051179,1.0695505924650668,-0.4550712528103249,0.0886476596458902,0.5043261778952987,1.191995846087592,29.446347095840824,0.3159301616327998,0.12311737369331,0.1600339310675366,0.1503239901281353,15.0,12.0,-4.478195612507943
SFace,braycurtis,0.606296693525321,0.8741728742090463,0.1672091975716709,0.0799025499367379,0.3743135029485362,0.9270840647570896,0.7090426364413199,1.1087045609202208,0.2678761806837253,0.5527705618085533,0.3996619244789009,1.0840285149721984,-0.9239816327186016,1.422221439361982,0.4625274049102681,0.7384827343341464,30.31079992785241,0.281254770852994,0.5729215376038292,0.8468211830100656,0.7402347838671837,30.0,4.0,-4.552556392815769
SFace,chebyshev,2.175906128063798,2.804932970404625,0.2631777549347969,0.3805872554207367,1.6817142218351364,2.869432806968689,2.1522938013076782,3.527100682258606,0.629026842340827,1.1877185851335526,1.3748068809509275,0.9771062922376488,0.6198892730438126,-0.9135312193574928,0.3255064567684668,0.3926434639878124,34.54323124883705,0.2454714502025906,2.2051080465316772,2.661304235458374,2.4904195492342116,5.0,20.0,-5.378924170164112
OpenFace,chebyshev,0.2017943830403964,0.2950298566091806,0.0550086587164898,0.0514392429494571,0.1080802641808986,0.3345946744084358,0.182992085814476,0.3705128580331802,0.093235473568784,0.2265144102275371,0.1875207722187042,0.8758789239582576,-0.1876584435769408,-0.6066659189924426,0.2462684399991343,-0.6853012301319821,39.965197036437125,0.2251873210820431,0.2147220410406589,0.3068138360977173,0.2484121198247885,20.0,24.0,-6.851961639511314
