Model,Metric,Mean (Same Folder),Mean (Different Folder),Std (Same Folder),Std (Different Folder),Min (Same Folder),Max (Same Folder),Min (Different Folder),Max (Different Folder),Separation (Mean Diff),Dynamic Range (Same Folder),Dynamic Range (Different Folder),SNR,Kurtosis (Same Folder),Kurtosis (Different Folder),Skewness (Same Folder),Skewness (Different Folder),Overlap Percentage,Separation Ratio,Median (Same Folder),Median (Different Folder),Suggested Threshold,False Positive Rate,False Negative Rate
ArcFace,mse,0.028425133776116766,0.060041002954908954,0.005653494822941686,0.0067298002328824175,0.017702476609455182,0.03854590848883033,0.04638246642126004,0.07401777754503738,0.03161586917879219,0.020843431879375145,0.027635311123777345,2.5531063449806624,-1.0691329302873074,-0.2872625457684457,-0.033815741852024864,-0.07234478459844296,1.1974020179952234,0.6521594253534226,0.02796656164956366,0.059443765319758944,0.044233068365512856,0.0,0.0
ArcFace,jensenshannon,inf,inf,,,inf,inf,inf,inf,,,,,,,,,100.0,,inf,inf,inf,0.0,100.0
Facenet,manhattan,72.75135013293475,127.11623128827661,8.898486619172559,6.451169683637945,58.63925925642252,86.39025299437344,113.50806236080825,141.67183576524258,54.36488115534186,27.75099373795092,28.163773404434323,3.5417653713450066,-1.336440400204213,-0.14394756017504928,-0.12210519194830544,0.38948432827361507,0.0010654670037941972,0.9722812761949514,74.20052939001471,127.31787503696978,99.93379071060568,0.0,0.0
Facenet,canberra,59.02848091316032,83.2424320917857,6.2811826171387395,3.0351545416070738,48.419874031564255,68.34949463226914,76.83933631253743,89.12081291278241,24.21395117862538,19.929620600704887,12.281476600244986,2.599084894205902,-1.3886770878308223,-0.5676889754947636,0.0353833892357357,0.06677084123192373,0.43002030364890576,0.7517269910914843,57.72067861132378,83.06149418632856,71.135456502473,0.0,0.0
Facenet,hamming,24.4,45.8,4.3977266854592045,3.3823069050575527,17.0,36.0,39.0,53.0,21.4,19.0,14.0,2.7506307975437148,0.5019746783461261,-0.28478165191451854,0.4823870520640833,0.07939299302790724,2.1128438424843177,0.6484848484848484,24.0,45.0,35.099999999999994,5.0,0.0
Facenet,euclidean,8.053155434408733,14.073068651532274,0.9215918008943231,0.5450520928893589,6.458594241429656,9.404475097546964,13.008964045003706,15.43374865122835,6.019913217123541,2.9458808561173075,2.4247846062246445,4.104550015609603,-1.1937001358401955,0.0673320994253106,-0.11440572200669225,0.3939749271895104,1.6502505215599806e-06,1.1208877669506667,8.149106348607864,13.997656926009437,11.063112042970504,0.0,0.0
Facenet,hausdorff,8.053155434408733,14.073068651532271,0.9215918008943232,0.5450520928893593,6.458594241429656,9.404475097546964,13.0089640450037,15.433748651228347,6.019913217123538,2.9458808561173075,2.424784606224648,4.1045500156095995,-1.193700135840196,0.06733209942531415,-0.11440572200669469,0.3939749271895171,1.6502505215600822e-06,1.1208877669506654,8.149106348607862,13.997656926009437,11.063112042970502,0.0,0.0
Facenet,minkowski,4.175150101290148,7.285544133403297,0.4655136551488794,0.2900085582937866,3.2997603320560684,4.953109180916835,6.652879888005395,7.919951141219423,3.110394032113149,1.6533488488607664,1.267071253214028,4.116879658561073,-1.0361671005250035,-0.2772540954824252,-0.05188873879465604,-0.019169321648537616,1.0691998209687399e-05,1.0650502062711418,4.13581056397091,7.294789429749354,5.730347117346723,0.0,0.0
Facenet,chebyshev,1.9469707943499088,3.3241221070289613,0.30972020006027573,0.3828895294706747,1.412746787071228,2.6959840655326843,2.815418064594269,4.213094711303711,1.3771513126790524,1.2832372784614563,1.3976766467094421,1.9883510929187893,0.09095612220782145,-0.47027059972267393,0.704854113710612,0.6766780116242721,6.694532749713666,0.513687254092376,1.9440191686153412,3.270694613456726,2.635546450689435,5.0,0.0
Facenet,mse,0.5133019054548638,1.5495964301148712,0.11535675170968224,0.12080946422943085,0.32588624668303384,0.6909699364092265,1.3221339494078057,1.8609421674163515,1.0362945246600075,0.3650836897261927,0.5388082180085458,4.387988013184657,-1.234216505472909,0.20154022647948366,0.021131334565809363,0.5046547757095561,9.442075127354212e-08,1.1464805866633831,0.5190364492392403,1.5307374954551562,1.0314491677848676,0.0,0.0
Facenet,cosine,0.23814165356569356,0.7174789267702762,0.05588311986997133,0.05346609617197433,0.15009024356589618,0.32793781170969727,0.6240243790792258,0.8558437393694742,0.4793372732045827,0.1778475681438011,0.2318193602902484,4.383545585006407,-1.3064285063049978,-0.041715555032917795,0.015826807391841426,0.5329912875936386,5.2644435767916e-08,1.1700658264918964,0.2386581243700035,0.7025302705035267,0.47781029016798493,0.0,0.0
Facenet,correlation,0.23878126971310873,0.7041230746477075,0.055466866459928266,0.05137741001583513,0.15234089711706833,0.3257731691676764,0.6169658526659854,0.8331845338231986,0.46534180493459876,0.17343227205060807,0.2162186811572132,4.355327400622691,-1.3432209663061618,-0.31028342634802364,0.03473770318864037,0.5236622189991299,4.479936733856709e-08,1.1942529617947772,0.23760582585265755,0.6947056704097467,0.47145217218040814,0.0,0.0
Facenet,braycurtis,0.362285145120432,0.7566361393339227,0.05379442617364976,0.053059382363295216,0.27448867874811794,0.4537049313464425,0.6510362051798098,0.8765205406689313,0.39435099421349074,0.17921625259832458,0.2254843354891215,3.6905656392878394,-1.367230649522497,-0.08099637647360236,-0.05980291425574819,0.5259246014663268,0.0004289962761477641,0.9744265410562758,0.3633786816992678,0.7579303225767843,0.5594606422271773,0.0,0.0
Facenet,jensenshannon,inf,inf,,,inf,inf,inf,inf,,,,,,,,,100.0,,inf,inf,inf,0.0,100.0
Facenet512,manhattan,264.5753839904326,489.4823289743322,36.96684446146786,21.906038946830524,190.2341361772269,335.82613429258345,445.34684021305293,538.6548955139588,224.90694498389956,145.59199811535655,93.30805530090583,3.820212837616817,-0.37380977406666727,-0.31945220726345624,0.13811980393057632,0.19052818192399693,0.0005880199843789408,0.9414269346856066,265.15129738510586,491.9211050616577,377.02885648238237,0.0,0.0
Facenet512,canberra,239.150981315887,342.4941323478894,19.79762637004301,8.196725353557511,197.96168662792672,274.51702808325206,326.9047037450614,360.1085160836244,103.34315103200237,76.55534145532533,33.20381233856301,3.6915715017211617,-0.7106626501605451,-0.30008766618118754,-0.20069435724006507,0.05996141401625176,0.0004119814827616984,0.941544713674321,241.9489027257734,342.80259338105384,290.82255683188816,0.0,0.0
Facenet512,hamming,100.9,185.16,17.172361514946044,9.272238133266422,64.0,130.0,165.0,203.0,84.25999999999999,66.0,38.0,3.186283820549183,-0.3736170735686062,-0.13147825460317453,-0.5195801707981366,-0.3143999414986968,0.027189975752963357,0.8101923076923077,103.0,186.0,143.03,0.0,0.0
